ticker,WN1 Comdty,FV1 Comdty,TU1 Comdty,US1 Comdty
04/01/2010,,4.5116,1.8209,11.6677
05/01/2010,,4.5297,1.8244,11.7923
06/01/2010,,4.5279,1.8251,11.6968
07/01/2010,,4.523,1.8238,11.6926
08/01/2010,,4.5325,1.8268,11.7175
11/01/2010,17.9251,4.5336,1.828,11.6802
12/01/2010,18.4024,4.5502,1.8292,11.8962
13/01/2010,18.0231,4.54,1.8275,11.7798
14/01/2010,18.3569,4.5517,1.8294,11.8921
15/01/2010,18.5602,4.5655,1.8319,11.9711
19/01/2010,18.4684,4.558,1.8307,11.942
20/01/2010,18.6981,4.5665,1.8316,12.0502
21/01/2010,18.8624,4.5797,1.8335,12.1377
22/01/2010,18.8558,4.5861,1.835,12.1669
25/01/2010,18.7312,4.5832,1.835,12.096
26/01/2010,18.6455,4.585,1.8347,12.0918
27/01/2010,18.7112,4.5793,1.8333,12.1002
28/01/2010,18.6587,4.5853,1.8347,12.0752
29/01/2010,18.9084,4.5985,1.8368,12.1627
01/02/2010,18.6915,4.5921,1.8357,12.0752
02/02/2010,18.7638,4.5956,1.8361,12.1085
03/02/2010,18.4421,4.6441,1.8349,11.9711
04/02/2010,18.8032,4.6077,1.8378,12.1585
05/02/2010,19.04,4.6265,1.8406,12.2544
08/02/2010,18.9216,4.6169,1.8393,12.1794
09/02/2010,18.7243,4.6088,1.8378,12.096
10/02/2010,18.4421,4.5967,1.8354,11.9961
11/02/2010,18.2652,4.596,1.8357,11.9544
12/02/2010,18.3569,4.6052,1.8378,11.9961
16/02/2010,18.4356,4.6134,1.8392,12.0294
17/02/2010,18.1212,4.5935,1.8368,11.8962
18/02/2010,17.9708,4.6401,1.8361,11.8131
19/02/2010,18.1932,4.5765,1.8338,11.8921
22/02/2010,18.0885,4.5797,1.8357,11.838
23/02/2010,18.4946,4.6006,1.8381,12.0377
24/02/2010,18.5077,4.5992,1.8388,12.0169
25/02/2010,18.7243,4.6148,1.8409,12.1085
26/02/2010,18.9544,4.6251,1.8419,12.2127
01/03/2010,18.8426,4.6244,1.8421,12.1835
02/03/2010,18.7901,4.6272,1.8426,12.1669
03/03/2010,18.7243,4.6279,1.8421,12.1585
04/03/2010,18.8426,4.6244,1.84,12.2294
05/03/2010,18.5077,4.6109,1.8387,12.0793
08/03/2010,18.3635,4.6095,1.8392,12.0419
09/03/2010,18.3504,4.613,1.8399,12.0502
10/03/2010,18.3307,4.6034,1.8387,12.0335
11/03/2010,18.4487,4.5963,1.8368,12.071
12/03/2010,18.5733,4.5949,1.8362,12.1168
15/03/2010,18.5536,4.5985,1.8375,12.1127
16/03/2010,18.7375,4.6102,1.839,12.2127
17/03/2010,18.8229,4.6052,1.8381,12.2461
18/03/2010,18.7703,4.5953,1.8362,12.2211
19/03/2010,18.8098,4.5875,1.8345,12.2461
22/03/2010,18.8032,4.6545,1.8359,12.2461
